9 2905 6804
3 224 0.467426 -0.0456993
3 34 0.418119 -0.0418276
3 100 0.405894 -0.0406049
3 35 0.410784 -0.0406049
0 225 0.419342 -0.0748387
3 225 0.417508 -0.0385672
0 226 0.402227 -0.0736161
3 226 0.401004 -0.036937
3 36 0.386946 -0.0344918
0 227 0.434011 -0.0601671
3 227 0.430344 -0.0247107
0 228 0.445014 -0.0577218
3 228 0.441346 -0.023488
0 229 0.401004 -0.0479407
3 229 0.399782 -0.0124844
0 230 0.459684 -0.0467181
3 230 0.454794 -0.0124844
0 231 0.445014 -0.0454955
3 231 0.441346 -0.0112617
0 232 0.451126 -0.0430502
3 232 0.447459 -0.00881644
0 233 0.36433 -0.0406049
3 233 0.365552 -0.00514854
0 234 0.367997 -0.0393823
3 234 0.36922 -0.00392589
0 235 0.37411 -0.0393823
3 235 0.37411 -0.00392589
0 236 0.445014 -0.0393823
3 236 0.441346 -0.00637118
0 237 0.468241 -0.0344918
3 237 0.463351 -0.00148063
0 238 0.366775 -0.0320465
3 238 0.36759 0.00218725
0 239 0.36922 -0.0283786
3 239 0.369627 0.0062627
0 240 0.350882 -0.027156
3 240 0.352105 0.00707781
0 241 0.416897 -0.0259333
3 241 0.415674 0.00830045
0 242 0.425454 -0.0112617
3 242 0.424639 0.0215456
0 243 0.388779 -0.00148063
3 243 0.388779 0.0315305
0 244 0.275088 0.0107457
3 244 0.281201 0.0449795
0 245 0.331323 0.013191
3 245 0.33499 0.0462021
0 246 0.259196 0.0168589
3 246 0.265308 0.0510926
0 247 0.288536 0.0229721
3 247 0.294648 0.0559832
0 248 0.35455 0.02664
3 248 0.358217 0.0584284
0 249 0.34477 0.0303078
3 249 0.348437 0.0620963
0 250 0.458461 0.0339758
3 250 0.457239 0.0645416
0 251 0.297093 0.0351984
3 251 0.301983 0.0682095
0 252 0.467019 0.0388663
3 252 0.464574 0.0694322
0 253 0.338658 0.0425342
3 253 0.343547 0.0743227
0 254 0.413229 0.0425342
3 254 0.414452 0.0731
0 255 0.405894 0.0437568
3 255 0.40732 0.0735076
0 256 0.458461 0.0462021
3 256 0.457239 0.0755453
0 257 0.489023 0.0462021
3 257 0.485356 0.0755453
0 258 0.418119 0.0486474
3 258 0.419342 0.0792132
0 259 0.487801 0.0486474
3 259 0.484133 0.0779906
0 260 0.480466 0.0523153
3 260 0.477613 0.0816585
0 261 0.458461 0.0608737
3 261 0.457239 0.0908282
0 262 0.478021 0.0620963
3 262 0.475576 0.0914396
0 263 0.430344 0.0657643
3 263 0.431566 0.0951075
3 39 0.376555 0.0975528
0 264 0.458461 0.0731
3 264 0.457239 0.102036
0 265 0.449904 0.0816585
3 265 0.449904 0.109779
3 42 0.36433 0.112224
0 266 0.328878 0.086549
3 266 0.33499 0.117115
0 267 0.440124 0.0889943
3 267 0.440124 0.117115
0 268 0.382667 0.0902169
3 268 0.386334 0.11956
0 269 0.446481 -0.375851
3 269 0.434745 -0.321566
0 270 0.299783 -0.251143
3 270 0.299783 -0.204193
0 271 -0.254737 -0.230602
3 271 -0.228576 -0.17754
0 272 -0.309015 -0.220332
3 272 -0.279676 -0.167514
0 273 -0.256204 -0.214464
3 273 -0.229798 -0.161646
0 274 -0.244468 -0.198325
3 274 -0.218062 -0.146974
0 275 -0.285544 -0.18512
3 275 -0.257916 -0.133525
0 276 -0.31635 -0.182186
3 276 -0.287011 -0.130835
0 277 -0.231265 -0.179252
3 277 -0.206327 -0.129368
0 278 0.374599 -0.17485
3 278 0.371665 -0.13377
0 279 -0.287011 -0.168982
3 279 -0.259138 -0.119098
0 280 0.428877 -0.167514
3 280 0.423009 -0.126189
0 281 0.393669 -0.166047
3 281 0.389268 -0.124967
0 282 0.376066 -0.160179
3 282 0.37411 -0.120076
0 283 -0.0141518 -0.142573
3 283 0.00198493 -0.0970906
0 284 0.500759 -0.142573
3 284 0.491957 -0.104426
0 285 0.283646 -0.135237
3 285 0.287109 -0.0946046
0 286 0.408339 -0.13377
3 286 0.405405 -0.0941563
0 287 0.324721 -0.132303
3 287 0.32521 -0.0919556
0 288 0.434745 -0.126434
3 288 0.430344 -0.0882877
0 289 -0.0786991 -0.122032
3 289 -0.0596283 -0.0765504
0 290 0.478754 -0.120565
3 290 0.47142 -0.082419
0 291 0.44208 -0.113229
3 291 0.437679 -0.0750832
0 292 0.414207 -0.105894
3 292 0.411273 -0.0677474
0 293 0.439146 -0.101492
3 293 0.435234 -0.063835
0 294 0.45675 -0.0882877
3 294 0.452349 -0.0516086
3 46 0.409806 -0.0472071
0 295 0.42741 -0.0838862
3 295 0.424476 -0.0472071
0 296 -0.304614 -0.0780176
3 296 -0.276742 -0.0310684
0 297 0.383401 -0.0780176
3 297 0.383401 -0.0413385
3 47 0.421542 -0.0398714
0 298 -0.317817 -0.0750832
3 298 -0.289945 -0.0281341
0 299 0.395136 -0.0750832
3 299 0.393669 -0.0384042
0 300 -0.088968 -0.0662802
3 300 -0.0684302 -0.0237326
0 301 0.296849 -0.0633459
3 301 0.30076 -0.0259333
0 302 0.301249 -0.0633459
3 302 0.304183 -0.0266669
0 303 0.307117 -0.0604116
3 303 0.310051 -0.0237326
0 304 0.418608 -0.0574773
3 304 0.417141 -0.0222654
0 305 0.452349 -0.0442728
3 305 0.447948 -0.0105281
0 306 0.403938 -0.0413385
3 306 0.403449 -0.00637118
0 307 0.355528 -0.0384042
3 307 0.356995 -0.00319231
0 308 0.402471 -0.0354699
3 308 0.402471 -0.00172517
0 309 0.411273 -0.0310684
3 309 0.409562 0.0034099
0 310 0.351127 -0.0281341
3 310 0.352594 0.00707781
0 311 0.354061 -0.0251997
3 311 0.355772 0.00952307
0 312 0.417141 -0.0251997
3 312 0.415674 0.00854497
0 313 0.329122 -0.0178639
3 313 0.332056 0.0158808
0 314 0.387801 -0.0163968
3 314 0.387801 0.0173479
0 315 0.329122 0.0114793
3 315 0.332545 0.0449795
0 316 0.274844 0.0188151
3 316 0.280712 0.0525598
0 317 0.343792 0.0290852
3 317 0.348193 0.0613628
0 318 0.289514 0.0305524
3 318 0.295382 0.0642971
0 319 0.414207 0.0334867
3 319 0.414207 0.0642971
0 320 0.296849 0.0349539
3 320 0.302716 0.0672314
